Application Name,Respondent Role,Rating,Comment,Date,Sentiment
Complaint Tracking System,IT Staff,5,Solid application that just works,2025-09-11,Positive
Benefits Administration System v1,Supervisor,3,Works okay most of the time,2025-06-02,Neutral
Integrated Project Management v2,Business Analyst,3,"Gets the job done, nothing special",2025-08-11,Neutral
Integrated Backup System Pro,End User,2,"Terrible application, looking for replacement ASAP",2025-09-14,Negative
Asset Management System,Administrator,3,"It's fine, no major issues",2025-06-28,Neutral
Budget Management Platform Plus,End User,1,Not worth the cost - should find cheaper alternative,2025-09-25,Negative
Evidence Tracking Platform v1,Business Analyst,4,Great application - modern interface and reliable performance,2025-11-17,Positive
Asset Inventory System,IT Staff,2,"Unnecessarily complex, needs complete redesign",2025-07-19,Negative
Fleet Management System,Team Lead,1,"Unnecessarily complex, needs complete redesign",2025-07-25,Negative
Benefits Administration System Pro,Executive,3,"Acceptable for now, considering alternatives",2025-10-10,Neutral
Integrated Case Management (New),Support Staff,3,Adequate for our needs but could be better,2025-06-26,Neutral
Help Desk,Department Manager,1,So slow it's almost unusable during peak hours,2025-09-19,Negative
Analytics Platform System Classic,Department Manager,3,Works okay most of the time,2025-08-23,Neutral
Procurement Tool Pro,Team Lead,2,Data integrity issues - can't trust the information,2025-09-19,Negative
Integrated Budget Management,Executive,1,Data integrity issues - can't trust the information,2025-09-19,Negative
Integrated 311 System,Supervisor,5,Clean interface and powerful features,2025-09-17,Positive
Integrated 311 System,End User,4,Clean interface and powerful features,2025-09-30,Positive
Public Portal System,Director,4,Impressed with the functionality and ease of use,2025-08-24,Positive
Performance Management Platform,Administrator,3,"Average tool, meets minimum requirements",2025-06-15,Neutral
Integrated Fleet Management,End User,4,Best application we have - couldn't do without it,2025-07-28,Positive
Human Resources HR Management Classic,Administrator,1,Complete disaster - retire it now,2025-09-18,Negative
Identity Management System,Department Manager,1,Way too complicated for what it should do,2025-11-15,Negative
Integrated Audit Management,Director,1,Complete disaster - retire it now,2025-09-27,Negative
Backup System Tool,Director,3,Could use some improvements but manageable,2025-08-05,Neutral
Complaint Tracking (New),Business Analyst,3,Works okay most of the time,2025-11-09,Neutral
Reporting Dashboard,Business Analyst,5,"Fantastic system, makes my job much easier",2025-11-17,Positive
Audit Management Platform,IT Staff,3,It works but feels dated,2025-10-04,Neutral
Case Management System v2,Executive,3,"Average tool, meets minimum requirements",2025-08-20,Neutral
Integrated License Management,Team Lead,1,Waste of money - should retire this immediately,2025-07-17,Negative
Human Resources HR Management Classic,End User,1,"Performance is terrible, constantly laggy",2025-06-04,Negative
Content Management,Supervisor,2,Complete disaster - retire it now,2025-06-17,Negative
Citizen Services Case Management Pro,Administrator,5,"Really helpful tool, very user-friendly",2025-06-16,Positive
Human Resources HR Management,Supervisor,2,Complete disaster - retire it now,2025-08-09,Negative
Document Management Tool,Business Analyst,1,"Very difficult to navigate, poor user experience",2025-09-06,Negative
Integrated Network Monitoring Pro,Support Staff,5,"Works perfectly, no complaints whatsoever",2025-11-09,Positive
Budget Management System,Director,3,"Gets the job done, nothing special",2025-06-19,Neutral
Budget Management Platform,Director,1,"Absolutely hate this system, it's awful",2025-10-15,Negative
Integrated Backup System,Business Analyst,3,Works okay most of the time,2025-08-08,Neutral
IT Asset Inventory Plus,Director,1,Complete disaster - retire it now,2025-08-27,Negative
Integrated Evidence Tracking,Business Analyst,2,"Too many bugs, feels like it's never been tested",2025-05-30,Negative
VPN,Director,4,Very efficient and well-designed,2025-07-23,Positive
IT Network Monitoring,End User,3,Middle of the road - neither good nor bad,2025-09-24,Neutral
Citizen Services Case Management Pro,Support Staff,4,"Works perfectly, no complaints whatsoever",2025-10-26,Positive
Integrated Revenue Collection,Team Lead,5,"Fantastic system, makes my job much easier",2025-11-14,Positive
Reporting Dashboard,End User,5,Very reliable and easy to use - saves us a lot of time,2025-10-23,Positive
Integrated Fleet Management,Team Lead,3,Adequate for our needs but could be better,2025-06-12,Neutral
Public Safety Investigation Management v1,Supervisor,2,Costs too much for how rarely we use it,2025-06-07,Negative
Digital Signatures System Enterprise,Supervisor,2,"Performance is terrible, constantly laggy",2025-10-12,Negative
Benefits Administration System v1,Department Manager,5,"Really helpful tool, very user-friendly",2025-07-15,Positive
Complaint Tracking Platform,Executive,1,Outdated - doesn't integrate with anything modern,2025-09-03,Negative
Integrated Case Management (New),Executive,2,Waste of money - should retire this immediately,2025-10-25,Negative
Grant Management Platform,Administrator,3,Functional but a bit outdated,2025-07-16,Neutral
Service Request System v1,Director,1,Horrible experience every time I have to use it,2025-11-15,Negative
Case Management System v2,Executive,3,Not great but not terrible either,2025-08-09,Neutral
Integrated Complaint Tracking v1,Executive,3,"Gets the job done, nothing special",2025-08-24,Neutral
Email Archive Platform,Executive,1,"System goes down frequently, can't count on it",2025-09-04,Negative
VPN,Team Lead,3,"Acceptable for now, considering alternatives",2025-10-29,Neutral
Email System,IT Staff,2,"Takes 5+ minutes just to log in, completely unacceptable",2025-08-23,Negative
Human Resources HR Management Classic,Director,1,Outdated - doesn't integrate with anything modern,2025-07-23,Negative
Public Safety Investigation Management,Director,2,"Very difficult to navigate, poor user experience",2025-10-16,Negative
Integrated Digital Signatures,Executive,4,Love this system! It's intuitive and fast,2025-09-30,Positive
Backup System Plus,Business Analyst,1,Waste of money - should retire this immediately,2025-06-07,Negative
Integrated Digital Signatures,Director,3,Middle of the road - neither good nor bad,2025-06-19,Neutral
Benefits Administration System v1,Supervisor,5,Clean interface and powerful features,2025-07-02,Positive
Public Portal Tool,Business Analyst,3,"Acceptable for now, considering alternatives",2025-06-24,Neutral
Complaint Tracking System,Administrator,3,"Acceptable for now, considering alternatives",2025-08-27,Neutral
Public Safety Emergency Dispatch,Department Manager,3,Serviceable but not ideal,2025-09-07,Neutral
Document Management Platform Enterprise,Executive,4,Best application we have - couldn't do without it,2025-10-03,Positive
Integrated Budget Management,Administrator,3,It works but feels dated,2025-10-12,Neutral
Budget Management,Director,5,"Works perfectly, no complaints whatsoever",2025-08-01,Positive
GIS Mapping Platform,End User,2,Not worth the cost - should find cheaper alternative,2025-10-12,Negative
Operations Inventory,Department Manager,3,"Average tool, meets minimum requirements",2025-05-30,Neutral
Integrated Evidence Tracking,IT Staff,3,"Acceptable for now, considering alternatives",2025-09-23,Neutral
Identity Management System,Support Staff,1,User interface from the 1990s - desperately needs update,2025-09-14,Negative
Public Safety Investigation Management,IT Staff,1,Data integrity issues - can't trust the information,2025-09-20,Negative
Training Platform Pro,IT Staff,3,Works okay most of the time,2025-06-27,Neutral
Training System,Department Manager,3,Functional but a bit outdated,2025-06-25,Neutral
Citizen Services Service Request,Executive,5,Best application we have - couldn't do without it,2025-07-04,Positive
Content Management Platform,Team Lead,2,Waste of money - should retire this immediately,2025-11-14,Negative
Integrated Case Management Pro,Business Analyst,4,"Works perfectly, no complaints whatsoever",2025-09-20,Positive
Service Request System v1,Business Analyst,1,"Performance is terrible, constantly laggy",2025-07-12,Negative
Benefits Administration Classic,Team Lead,3,Does the basic functions we need,2025-08-10,Neutral
Grant Management Platform,Department Manager,3,"Acceptable for now, considering alternatives",2025-09-08,Neutral
Investigation Management System,Director,3,Functional but a bit outdated,2025-08-02,Neutral
Integrated Fleet Management,Team Lead,3,"Gets the job done, nothing special",2025-10-30,Neutral
Training,Business Analyst,5,Outstanding tool that delivers real value,2025-08-24,Positive
Facility Management System,IT Staff,5,"Really helpful tool, very user-friendly",2025-06-18,Positive
Integrated Case Management Pro,Support Staff,5,This application works great and has everything we need,2025-05-23,Positive
Human Resources Training,Director,2,"Can't do half of what we need, very limited",2025-09-15,Negative
Integrated Evidence Tracking,Supervisor,1,Clunky interface makes simple tasks take forever,2025-07-23,Negative
Human Resources Recruitment,IT Staff,1,Waste of money - should retire this immediately,2025-10-19,Negative
Backup System,Business Analyst,1,Horrible experience every time I have to use it,2025-06-22,Negative
Integrated Project Management v2,Department Manager,3,Middle of the road - neither good nor bad,2025-05-23,Neutral
Human Resources Recruitment,Supervisor,1,Budget drain with minimal return on investment,2025-06-08,Negative
Integrated Digital Signatures,IT Staff,3,Does the basic functions we need,2025-05-24,Neutral
Asset Inventory System (Old),Business Analyst,5,Appreciate how reliable and fast this is,2025-09-02,Positive
Email System,Executive,2,"Performance is terrible, constantly laggy",2025-07-16,Negative
Case Management Platform,Business Analyst,3,Could use some improvements but manageable,2025-08-25,Neutral
Project Management,Department Manager,2,"Takes 5+ minutes just to log in, completely unacceptable",2025-08-17,Negative
Help Desk,End User,3,"Average tool, meets minimum requirements",2025-11-07,Neutral
Integrated Project Management v2,Team Lead,2,Waste of money - should retire this immediately,2025-08-06,Negative
Benefits Administration Classic,Administrator,1,User interface from the 1990s - desperately needs update,2025-06-13,Negative
IT Asset Inventory Plus,Director,3,Does the basic functions we need,2025-07-31,Neutral
Asset Management System (Old),Executive,1,"Very difficult to navigate, poor user experience",2025-09-12,Negative
Public Safety Investigation Management,Business Analyst,1,Waste of money - should retire this immediately,2025-09-17,Negative
Training Platform Pro,Administrator,1,Missing basic features we desperately need,2025-09-27,Negative
Backup System,Department Manager,2,Horrible experience every time I have to use it,2025-06-17,Negative
Integrated Payroll,Business Analyst,2,Missing basic features we desperately need,2025-06-16,Negative
Integrated Payroll,Department Manager,1,System is painfully slow and frequently times out,2025-06-11,Negative
Citizen Services Case Management Classic,Support Staff,2,Clunky interface makes simple tasks take forever,2025-07-30,Negative
Incident Reporting,Support Staff,3,Does the basic functions we need,2025-09-26,Neutral
Work Order,Department Manager,2,Outdated - doesn't integrate with anything modern,2025-07-13,Negative
Benefits Administration System Pro,IT Staff,3,Adequate for our needs but could be better,2025-07-28,Neutral
Permit System Tool,Executive,4,Love this system! It's intuitive and fast,2025-06-26,Positive
Asset Inventory System,End User,2,"Performance is terrible, constantly laggy",2025-11-16,Negative
Human Resources Training (Old),IT Staff,2,"Freezes constantly, have to restart multiple times daily",2025-08-23,Negative
Email Archive (New),End User,5,Appreciate how reliable and fast this is,2025-07-08,Positive
Finance Revenue Collection,End User,4,Excellent tool that has significantly improved our workflow,2025-07-12,Positive
Backup System,Executive,3,"It's fine, no major issues",2025-07-02,Neutral
Backup System Platform,Administrator,1,Waste of money - should retire this immediately,2025-11-13,Negative
Revenue Collection Platform v2,End User,1,Functionality is bare-bones and inadequate,2025-08-01,Negative
Incident Reporting System Pro,Department Manager,3,"It works fine, does what it needs to do",2025-10-01,Neutral
Asset Inventory,Administrator,3,"It works fine, does what it needs to do",2025-08-03,Neutral
Integrated Complaint Tracking v1,Administrator,4,Clean interface and powerful features,2025-09-11,Positive
Records Management Document Management,IT Staff,3,Does the basic functions we need,2025-08-16,Neutral
Fleet Management Platform,Supervisor,1,Way too complicated for what it should do,2025-05-24,Negative
GIS Mapping Tool Enterprise,Executive,4,Very reliable and easy to use - saves us a lot of time,2025-06-22,Positive
Integrated Accounts Payable,Department Manager,3,Middle of the road - neither good nor bad,2025-06-03,Neutral
Asset Management System (Old),End User,4,Best application we have - couldn't do without it,2025-10-14,Positive
Financial System,Business Analyst,2,Not worth the cost - should find cheaper alternative,2025-11-05,Negative
Document Management,Director,4,"Fantastic system, makes my job much easier",2025-07-01,Positive
Procurement,Team Lead,2,User interface from the 1990s - desperately needs update,2025-09-17,Negative
Email Archive Tool,Director,5,Solid application that just works,2025-08-31,Positive
Human Resources Recruitment,Supervisor,1,Waste of money - should retire this immediately,2025-08-06,Negative
Backup System Tool,Supervisor,3,Works okay most of the time,2025-06-09,Neutral
Integrated 311 System,Director,4,Outstanding tool that delivers real value,2025-09-14,Positive
Document Management Platform Enterprise,End User,4,Outstanding tool that delivers real value,2025-06-11,Positive
Identity Management,End User,3,Serviceable but not ideal,2025-09-17,Neutral
Human Resources HR Management,Department Manager,2,"Nightmare to use, causes daily frustration",2025-11-07,Negative
Finance Revenue Collection,Administrator,3,Does the basic functions we need,2025-08-15,Neutral
Backup System Platform,Business Analyst,5,Excellent tool that has significantly improved our workflow,2025-08-27,Positive
Integrated Backup System Pro,End User,2,Missing basic features we desperately need,2025-09-15,Negative
IT Network Monitoring,IT Staff,2,Missing critical features that competitors have,2025-07-28,Negative
Integrated Grant Management,Director,4,Very reliable and easy to use - saves us a lot of time,2025-07-14,Positive
Document Management Platform Enterprise,Executive,5,Impressed with the functionality and ease of use,2025-10-12,Positive
Content Management Platform Pro,Department Manager,1,"Absolutely hate this system, it's awful",2025-06-01,Negative
Email System,IT Staff,2,Lacks essential functionality for our work,2025-08-11,Negative
Backup System Tool,Administrator,3,Not great but not terrible either,2025-09-25,Neutral
Document Management Tool,Supervisor,1,Interface is confusing and not intuitive at all,2025-05-26,Negative
Integrated Grant Management,IT Staff,5,Best application we have - couldn't do without it,2025-06-06,Positive
Public Safety Emergency Dispatch (Old),Supervisor,3,Does the basic functions we need,2025-10-14,Neutral
Email System Tool,Support Staff,1,"Absolutely hate this system, it's awful",2025-06-14,Negative
Permit System Tool,Executive,4,Best application we have - couldn't do without it,2025-09-19,Positive
Asset Inventory System,Supervisor,1,"Performance is terrible, constantly laggy",2025-10-20,Negative
Procurement,End User,3,"Gets the job done, nothing special",2025-11-06,Neutral
Compliance Tracking Platform,End User,3,Could use some improvements but manageable,2025-06-26,Neutral
Human Resources Recruitment,IT Staff,3,Adequate for our needs but could be better,2025-10-23,Neutral
Integrated Backup System Pro,Department Manager,1,Budget drain with minimal return on investment,2025-08-05,Negative
Digital Signatures System Enterprise,Executive,1,So slow it's almost unusable during peak hours,2025-09-20,Negative
Permit System Tool,Director,5,Very efficient and well-designed,2025-08-17,Positive
Budget Management System,Team Lead,3,Does the basic functions we need,2025-06-30,Neutral
GIS Mapping Tool Enterprise,Department Manager,4,Great application - modern interface and reliable performance,2025-06-07,Positive
Incident Reporting System,Administrator,3,"It works fine, does what it needs to do",2025-10-16,Neutral
Citizen Services Public Portal (New),Support Staff,3,Middle of the road - neither good nor bad,2025-10-30,Neutral
Backup System System,Executive,5,Love this system! It's intuitive and fast,2025-08-07,Positive
IT Network Monitoring,Team Lead,2,Outdated - doesn't integrate with anything modern,2025-05-31,Negative
Integrated Case Management Pro,Support Staff,3,Functional but a bit outdated,2025-10-05,Neutral
Operations Inventory Enterprise,Business Analyst,4,Best application we have - couldn't do without it,2025-10-09,Positive
Procurement,Administrator,2,"Takes 5+ minutes just to log in, completely unacceptable",2025-07-23,Negative
Public Portal Platform,Supervisor,4,Very efficient and well-designed,2025-06-24,Positive
Email Archive (New),Support Staff,3,Functional but a bit outdated,2025-05-25,Neutral
Project Management,Administrator,2,"Too many bugs, feels like it's never been tested",2025-08-28,Negative
Asset Management System,End User,2,User interface from the 1990s - desperately needs update,2025-08-01,Negative
Public Portal Tool,Director,3,"Basic functionality works, missing some features",2025-08-12,Neutral
Investigation Management,Business Analyst,4,Impressed with the functionality and ease of use,2025-09-05,Positive
Incident Reporting System Pro,Executive,1,"Terrible application, looking for replacement ASAP",2025-10-07,Negative
Integrated Audit Management,Supervisor,3,Does the basic functions we need,2025-08-07,Neutral
Finance Budget Management Enterprise,Administrator,3,Works okay most of the time,2025-08-31,Neutral
Evidence Tracking Platform v1,Business Analyst,1,"Terrible application, looking for replacement ASAP",2025-09-22,Negative
Backup System,Business Analyst,3,Not great but not terrible either,2025-07-26,Neutral
Citizen Services Public Portal (New),End User,4,Solid application that just works,2025-10-08,Positive
Citizen Services Permit System (New),Administrator,4,"Works perfectly, no complaints whatsoever",2025-08-01,Positive
Service Request Tool,Administrator,1,Functionality is bare-bones and inadequate,2025-10-22,Negative
Integrated Accounts Payable,Business Analyst,1,System is painfully slow and frequently times out,2025-09-02,Negative
Data Warehouse v1,Department Manager,5,Love this system! It's intuitive and fast,2025-09-11,Positive
Investigation Management System,Department Manager,1,Complete disaster - retire it now,2025-09-25,Negative
Email Archive (New),Administrator,5,Outstanding tool that delivers real value,2025-09-02,Positive
Project Management,Director,3,"It works fine, does what it needs to do",2025-08-07,Neutral
Public Safety Investigation Management v1,Department Manager,3,"Gets the job done, nothing special",2025-07-29,Neutral
Digital Signatures Platform,Supervisor,1,Functionality is bare-bones and inadequate,2025-07-23,Negative
Integrated Compliance Tracking,Department Manager,3,Not great but not terrible either,2025-08-24,Neutral
Performance Management (New),Department Manager,5,Appreciate how reliable and fast this is,2025-10-18,Positive
Finance Budget Management Enterprise,Department Manager,4,Excellent tool that has significantly improved our workflow,2025-08-13,Positive
Reporting Dashboard,Department Manager,5,"Really helpful tool, very user-friendly",2025-08-29,Positive
Benefits Administration Classic,Director,3,Serviceable but not ideal,2025-11-05,Neutral
Performance Management Tool Plus,End User,3,Does the basic functions we need,2025-09-10,Neutral
IT Identity Management,Business Analyst,2,"Absolutely hate this system, it's awful",2025-10-04,Negative
Fleet Management Platform,IT Staff,2,Waste of money - should retire this immediately,2025-10-21,Negative
Service Request System,Support Staff,1,"Freezes constantly, have to restart multiple times daily",2025-06-16,Negative
Finance Budget Management,Executive,2,"System goes down frequently, can't count on it",2025-11-13,Negative
Asset Inventory Platform,End User,3,"It's fine, no major issues",2025-09-17,Neutral
Service Request System,Business Analyst,2,"Too many bugs, feels like it's never been tested",2025-05-25,Negative
Records Management Document Management,IT Staff,1,Interface is confusing and not intuitive at all,2025-11-12,Negative
Document Management,Business Analyst,4,Outstanding tool that delivers real value,2025-09-26,Positive
Revenue Collection Classic,End User,1,"System goes down frequently, can't count on it",2025-05-23,Negative
Complaint Tracking Platform,Business Analyst,1,Missing critical features that competitors have,2025-11-07,Negative
Facility Management System,Supervisor,3,Serviceable but not ideal,2025-11-12,Neutral
Fleet Management System,Executive,1,"Nightmare to use, causes daily frustration",2025-06-05,Negative
Citizen Services Case Management Classic,Supervisor,2,Functionality is bare-bones and inadequate,2025-08-01,Negative
Finance Budget Management Enterprise,Business Analyst,4,Very efficient and well-designed,2025-10-14,Positive
Fleet Management Platform,Executive,3,Could use some improvements but manageable,2025-09-23,Neutral
Operations Inventory Enterprise,Supervisor,5,"Works perfectly, no complaints whatsoever",2025-08-29,Positive
Finance Revenue Collection,Team Lead,4,Solid application that just works,2025-09-16,Positive
Accounts Payable Tool Classic,Department Manager,2,"Loading times are ridiculous, kills productivity",2025-09-29,Negative
Incident Reporting Tool,Director,4,Great application - modern interface and reliable performance,2025-06-10,Positive
Finance Grant Management,Team Lead,2,"Unnecessarily complex, needs complete redesign",2025-08-27,Negative
Permit System Tool,Business Analyst,5,Appreciate how reliable and fast this is,2025-07-23,Positive
Investigation Management Tool,Administrator,4,Love this system! It's intuitive and fast,2025-07-06,Positive
Integrated Accounts Payable,Team Lead,1,Waste of money - should retire this immediately,2025-09-22,Negative
Citizen Services Public Portal (New),Administrator,5,"Works perfectly, no complaints whatsoever",2025-11-09,Positive
Integrated Case Management v1,Director,2,So slow it's almost unusable during peak hours,2025-05-28,Negative
Integrated Grant Management,Business Analyst,5,"Works perfectly, no complaints whatsoever",2025-06-22,Positive
Fleet Management Plus,Executive,1,Complete disaster - retire it now,2025-07-10,Negative
Integrated Network Monitoring Pro,Supervisor,3,"It works fine, does what it needs to do",2025-09-27,Neutral
Email Archive (New),End User,2,Horrible experience every time I have to use it,2025-10-28,Negative
Public Safety Emergency Dispatch,IT Staff,1,Overpriced and underperforming,2025-05-23,Negative
Accounts Payable Tool,Department Manager,3,Serviceable but not ideal,2025-06-09,Neutral
Incident Reporting System Pro,Administrator,3,Adequate for our needs but could be better,2025-06-27,Neutral
Email Archive (New),IT Staff,5,Very reliable and easy to use - saves us a lot of time,2025-09-21,Positive
Performance Management Tool v1,Department Manager,5,Solid application that just works,2025-08-04,Positive
Investigation Management System,Support Staff,2,Way too complicated for what it should do,2025-09-21,Negative
VPN Tool,Supervisor,3,"Gets the job done, nothing special",2025-07-18,Neutral
Investigation Management Platform,Supervisor,1,Data integrity issues - can't trust the information,2025-11-06,Negative
Revenue Collection Classic,Team Lead,1,"Too many bugs, feels like it's never been tested",2025-07-20,Negative
Digital Signatures,Business Analyst,1,Horrible experience every time I have to use it,2025-05-31,Negative
Benefits Administration,IT Staff,1,Complete disaster - retire it now,2025-05-25,Negative
Identity Management Platform Pro,Administrator,2,Functionality is bare-bones and inadequate,2025-07-23,Negative
Incident Reporting System Pro,Team Lead,1,"Can't do half of what we need, very limited",2025-11-09,Negative
Public Safety Emergency Dispatch (Old),Team Lead,5,Excellent tool that has significantly improved our workflow,2025-11-11,Positive
Complaint Tracking System,Director,2,"Absolutely hate this system, it's awful",2025-08-21,Negative
Finance Budget Management,Director,2,System is painfully slow and frequently times out,2025-10-13,Negative
Revenue Collection Classic,Executive,1,Way too complicated for what it should do,2025-06-28,Negative
Integrated Case Management v1,Team Lead,1,"Terrible application, looking for replacement ASAP",2025-07-14,Negative
Integrated Case Management,End User,1,"Nightmare to use, causes daily frustration",2025-06-14,Negative
Data Warehouse Tool,Administrator,1,"Crashes multiple times per week, very unreliable",2025-07-03,Negative
Benefits Administration System,Supervisor,5,Best application we have - couldn't do without it,2025-09-24,Positive
Budget Management Tool (New),Administrator,2,Frequent errors and unexpected behavior,2025-07-17,Negative
Revenue Collection Classic,Director,2,Frequent errors and unexpected behavior,2025-05-30,Negative
Reporting Dashboard,Department Manager,4,Excellent tool that has significantly improved our workflow,2025-08-18,Positive
Permit System Tool,Business Analyst,3,Could use some improvements but manageable,2025-11-17,Neutral
Citizen Services Permit System (New),End User,2,Overpriced and underperforming,2025-09-16,Negative
Emergency Dispatch Platform,Administrator,5,Solid application that just works,2025-10-22,Positive
Help Desk,Administrator,1,Missing basic features we desperately need,2025-08-27,Negative
Budget Management,Executive,3,Serviceable but not ideal,2025-08-03,Neutral
Citizen Services Service Request,Department Manager,3,Works okay most of the time,2025-05-31,Neutral
Case Management,Executive,5,Impressed with the functionality and ease of use,2025-09-22,Positive
Integrated Work Order,Business Analyst,3,"Basic functionality works, missing some features",2025-09-24,Neutral
Integrated Evidence Tracking,Team Lead,5,Excellent tool that has significantly improved our workflow,2025-06-21,Positive
Backup System System,Supervisor,4,This application works great and has everything we need,2025-08-14,Positive
Backup System System,Department Manager,2,Budget drain with minimal return on investment,2025-07-20,Negative
Case Management Platform v1,Department Manager,5,Great application - modern interface and reliable performance,2025-10-14,Positive
Incident Reporting System,Administrator,1,Outdated - doesn't integrate with anything modern,2025-08-06,Negative
Integrated Inventory,Business Analyst,4,Very reliable and easy to use - saves us a lot of time,2025-10-14,Positive
Email Archive (New),IT Staff,3,Adequate for our needs but could be better,2025-09-21,Neutral
Integrated Email Archive Enterprise,End User,4,"Really helpful tool, very user-friendly",2025-08-02,Positive
Evidence Tracking Platform v1,Business Analyst,3,"It's fine, no major issues",2025-08-14,Neutral
Asset Inventory System (Old),Executive,3,"Gets the job done, nothing special",2025-08-22,Neutral
Integrated Document Management,Director,3,Not great but not terrible either,2025-08-15,Neutral
VPN,Team Lead,1,"Can't do half of what we need, very limited",2025-08-31,Negative
Integrated Payroll,Executive,1,"Loading times are ridiculous, kills productivity",2025-08-17,Negative
Benefits Administration Platform,Business Analyst,2,"Absolutely hate this system, it's awful",2025-07-23,Negative
Permit System Tool,Supervisor,5,"Fantastic system, makes my job much easier",2025-08-26,Positive
Finance Grant Management,Support Staff,5,Great application - modern interface and reliable performance,2025-10-22,Positive
Financial System,Business Analyst,3,Functional but a bit outdated,2025-09-14,Neutral
Human Resources Benefits Administration Enterprise,Team Lead,3,Adequate for our needs but could be better,2025-10-15,Neutral
Facility Management System,IT Staff,3,Adequate for our needs but could be better,2025-10-05,Neutral
Grant Management Platform,Director,4,Very efficient and well-designed,2025-08-24,Positive
Identity Management Platform Pro,Supervisor,3,"Acceptable for now, considering alternatives",2025-09-28,Neutral
Service Request,Business Analyst,1,"Unnecessarily complex, needs complete redesign",2025-05-28,Negative
Budget Management,Business Analyst,5,Very efficient and well-designed,2025-10-31,Positive
Complaint Tracking Tool Plus,Team Lead,2,"Unnecessarily complex, needs complete redesign",2025-08-07,Negative
Grant Management Platform,Administrator,2,Functionality is bare-bones and inadequate,2025-09-18,Negative
Citizen Services Case Management Classic,Executive,1,"Performance is terrible, constantly laggy",2025-11-01,Negative
Incident Reporting,Support Staff,3,It works but feels dated,2025-09-25,Neutral
Citizen Services Case Management,Supervisor,2,Confusing workflow that makes no sense,2025-09-12,Negative
Employee Portal Tool,Executive,2,Budget drain with minimal return on investment,2025-06-29,Negative
Citizen Services Public Portal (New),Team Lead,1,Not worth the cost - should find cheaper alternative,2025-06-10,Negative
Integrated Complaint Tracking v1,Director,4,Clean interface and powerful features,2025-08-18,Positive
Performance Management Tool Plus,Support Staff,5,Excellent tool that has significantly improved our workflow,2025-08-21,Positive
Compliance Tracking Platform,Executive,4,Impressed with the functionality and ease of use,2025-07-20,Positive
Financial System (Old),Administrator,3,"It's fine, no major issues",2025-10-26,Neutral
Case Management System v2,Administrator,3,Adequate for our needs but could be better,2025-10-14,Neutral
Human Resources HR Management Classic,IT Staff,1,"Crashes multiple times per week, very unreliable",2025-10-30,Negative
Asset Management System (Old),Supervisor,4,Very reliable and easy to use - saves us a lot of time,2025-05-23,Positive
Citizen Services Public Portal (New),Department Manager,1,Lacks essential functionality for our work,2025-10-08,Negative
Financial System (Old),End User,3,It works but feels dated,2025-10-20,Neutral
Case Management System v2,IT Staff,3,Could use some improvements but manageable,2025-07-04,Neutral
Benefits Administration System Pro,Administrator,2,"Nightmare to use, causes daily frustration",2025-06-22,Negative
Backup System,Director,1,Interface is confusing and not intuitive at all,2025-10-08,Negative
Investigation Management Tool,Supervisor,3,Not great but not terrible either,2025-06-22,Neutral
Complaint Tracking Tool Plus,Business Analyst,2,"Crashes multiple times per week, very unreliable",2025-08-15,Negative
Financial System (Old),Executive,2,Missing basic features we desperately need,2025-11-17,Negative
Permit System Tool,Team Lead,1,Complete disaster - retire it now,2025-10-02,Negative
Complaint Tracking Tool Plus,Department Manager,5,Clean interface and powerful features,2025-10-02,Positive
Public Safety Emergency Dispatch,Director,3,Does the basic functions we need,2025-08-08,Neutral
Case Management Platform v1,Director,4,Solid application that just works,2025-06-10,Positive
Service Request System v1,Administrator,2,Lacks essential functionality for our work,2025-10-05,Negative
Financial System (Old),Support Staff,3,Not great but not terrible either,2025-10-03,Neutral
Benefits Administration System v1,Administrator,4,Very reliable and easy to use - saves us a lot of time,2025-05-24,Positive
Integrated Case Management Pro,Supervisor,4,Great application - modern interface and reliable performance,2025-11-17,Positive
Human Resources Benefits Administration Enterprise,Administrator,3,Serviceable but not ideal,2025-06-13,Neutral
Asset Management System (Old),Department Manager,4,Best application we have - couldn't do without it,2025-11-10,Positive
Integrated Audit Management,Business Analyst,5,Excellent tool that has significantly improved our workflow,2025-10-11,Positive
Asset Inventory,Administrator,3,It works but feels dated,2025-10-05,Neutral
Digital Signatures System Enterprise,Director,3,Serviceable but not ideal,2025-06-25,Neutral
Case Management System v2,Business Analyst,1,Waste of money - should retire this immediately,2025-09-27,Negative
Integrated Investigation Management,End User,1,"Too many bugs, feels like it's never been tested",2025-06-15,Negative
Help Desk System,Support Staff,5,Great application - modern interface and reliable performance,2025-07-19,Positive
Public Portal Tool,IT Staff,4,Impressed with the functionality and ease of use,2025-09-27,Positive
Human Resources Benefits Administration Enterprise,Supervisor,3,Not great but not terrible either,2025-10-22,Neutral
Digital Signatures,Director,5,Very efficient and well-designed,2025-05-27,Positive
Asset Inventory Tool,Business Analyst,3,Works okay most of the time,2025-08-28,Neutral
Data Warehouse v1,Administrator,1,"Absolutely hate this system, it's awful",2025-08-05,Negative
Audit Management Platform,Supervisor,3,Serviceable but not ideal,2025-07-14,Neutral
Citizen Services Case Management Classic,Department Manager,3,Serviceable but not ideal,2025-06-26,Neutral
Human Resources Time & Attendance,Administrator,1,Missing basic features we desperately need,2025-11-04,Negative
Service Request System,Support Staff,1,"Loading times are ridiculous, kills productivity",2025-06-16,Negative
